ID,GBM_3,GBM_2,GBM_5,GBM_4,GBM_g4,GBM_g2,GBM_1,GBM_g3,GBM_g1,GBM_g5,XRT_1,DRF_1,DL_1,GLM_1
38113,0.97616,0.96996,0.97999,0.94857,0.99858,0.98016,0.95272,0.98571,0.9123,0.8592,0.95087,0.99256,0.91667,0.86234
39214,0.86666,0.89928,0.84684,0.99357,0.92711,0.8853,0.94428,0.87856,0.81162,0.97012,0.99689,0.81364,0.99675,0.77958
44248,0.93567,0.9404,0.93973,0.9712,0.90809,0.88448,0.89031,0.89793,0.97097,0.99894,0.98139,0.86929,0.86768,0.90322
10283,0.96195,0.95798,0.98416,0.98743,0.93585,0.97328,0.95173,0.97476,0.93328,0.97568,0.99311,0.984,0.9791,0.9692
26724,0.9996,0.99969,0.9996,0.99972,0.99951,0.99918,0.99865,0.99938,0.99991,0.99982,1,1,0.99958,0.99565
20996,0.99793,0.99829,0.99849,0.99598,0.99762,0.99745,0.99803,0.99856,0.99307,0.9978,1,0.99,0.99808,0.96674
44337,0.97717,0.9785,0.98135,0.95093,0.96593,0.9856,0.96909,0.97997,0.9859,0.97863,0.96,0.92,0.99851,0.99358
33771,0.99331,0.98153,0.96168,0.9411,0.92535,0.95304,0.96783,0.88659,0.85086,0.99587,1,0.99714,0.94936,0.86979
24651,0.93881,0.96051,0.85645,0.97471,0.96876,0.92141,0.96716,0.92253,0.95324,0.99852,0.95929,0.96417,0.99707,0.95942
36398,0.99465,0.99621,0.9965,0.99879,0.99148,0.99618,0.9911,0.99883,0.99172,0.99493,1,0.99935,0.94963,0.97475
37689,0.96275,0.97997,0.98122,0.94467,0.99517,0.93353,0.98473,0.92458,0.97242,1,0.99171,0.98533,0.97251,0.92035
41336,0.92782,0.92049,0.90329,0.99377,0.95524,0.8621,0.99218,0.92862,0.93777,0.97964,0.99836,0.98558,0.98731,0.86063
6384,0.99806,0.99875,0.99778,0.99849,0.99636,0.99806,0.99786,0.99829,0.99055,0.99698,1,1,0.99446,0.96574
44415,0.95496,0.97544,0.9947,0.99698,0.98749,0.93269,0.99978,0.9843,0.96721,0.97739,0.98345,0.94724,0.95039,0.84871
2571,0.93545,0.99338,0.96369,0.9923,0.9819,0.92941,0.99304,0.97169,0.99633,0.98495,0.99689,0.90788,0.97667,0.78431
7110,0.91979,0.92818,0.92471,0.90575,0.95138,0.94113,0.91544,0.94173,0.96179,0.89384,0.98307,0.9354,0.86593,0.79899
6613,0.99892,0.99914,0.99902,0.99992,0.9999,0.99855,0.99948,0.99884,0.99892,0.99929,0.99995,1,0.99971,0.98249
8467,0.98541,0.97916,0.94434,0.98261,0.96706,0.9441,0.99724,0.94405,0.95383,1,0.97496,0.98629,0.95954,0.92535
47081,0.99318,0.99564,0.99618,0.99785,0.99655,0.99417,0.99664,0.99502,0.99973,0.99921,0.99931,0.91,0.99791,0.97069
27267,0.97651,0.97136,0.99466,0.98713,0.98825,0.98931,0.99685,0.95669,0.97573,1,1,0.96,0.8697,0.82014
29974,0.99935,0.99943,0.99959,0.99994,0.99991,0.99908,0.99973,0.9994,0.99937,0.99957,0.99995,1,0.99626,0.97526
22469,0.94972,0.97943,0.93251,0.98494,0.94105,0.99045,0.98655,0.9628,0.97531,0.99439,0.9544,0.96693,0.99211,0.93354
19359,0.99913,0.99923,0.99921,0.99938,0.99877,0.9992,0.99978,0.99945,0.99851,0.99904,1,1,0.99619,0.9735
27710,0.96326,0.94563,0.82412,0.99744,0.92074,0.90842,0.92504,0.92996,0.97472,0.99109,0.968,0.99889,0.99815,0.85133
40076,0.99237,0.99453,0.99532,0.99337,0.99245,0.9919,0.99692,0.99328,0.9947,0.99482,1,1,0.99327,0.95328
5007,0.99849,0.99809,0.99837,0.99892,0.99855,0.99809,0.99933,0.99947,0.99875,0.99917,1,0.96,0.99905,0.99625
