ID,SE_1,GBM_1,XRT_1,DRF_1,DL_1,GLM_1,SE_2,GBM_2,XRT_2,DRF_2,DL_2,GLM_2,SE_3,GBM_3,DL_3,XRT_3,DRF_3,GLM_3,SE_4,GBM_4,XRT_4,DRF_4,DL_4,GLM_4
38113,0.96299,0.95362,0.9621,0.89278,0.9447,0.86241,0.95609,0.95792,0.96457,0.95085,0.97755,0.93216,0.97993,0.98786,0.94692,0.984,0.97896,0.91607,0.97904,0.97714,0.98591,0.96919,0.98171,0.92656
39214,0.92919,0.92721,0.94544,0.81104,0.76634,0.77971,0.90029,0.86293,0.95807,0.85182,0.92786,0.8727,0.91174,0.92217,0.75263,0.94375,0.7816,0.85158,0.94806,0.99293,0.91687,0.78933,0.82039,0.8894
44248,0.96173,0.90699,0.936,0.91594,0.76582,0.90328,0.90787,0.87383,0.92661,0.98116,0.89576,0.8595,0.82976,0.86457,0.87858,0.68375,0.44271,0.83432,0.90759,0.88651,0.95749,0.95207,0.93742,0.86261
10283,0.97359,0.98362,0.97672,0.98,0.94888,0.96921,0.93225,0.91319,0.97802,0.98638,0.98423,0.85116,0.91662,0.98381,0.66965,0.90578,0.67574,0.83163,0.96458,0.96612,1,0.74429,0.90433,0.86145
26724,0.99968,0.99944,1,1,0.99999,0.99565,0.99996,0.99974,1,1,0.99955,0.98472,0.99912,0.99927,0.99813,1,1,0.98142,0.99951,0.99857,1,0.99983,0.9981,0.96798
20996,0.99739,0.99798,0.98,0.98117,0.9996,0.96676,0.99822,0.9984,0.99819,0.99794,0.99558,0.95566,0.99756,0.99648,0.985,0.98609,0.97619,0.94126,0.97904,0.97714,0.98591,0.96919,0.98171,0.92656
44337,0.97881,0.98525,0.98,0.89275,0.99407,0.99359,0.95893,0.93756,1,0.94,0.95291,0.93594,0.83816,0.82556,0.8544,0.92956,0.65201,0.90799,0.86701,0.82259,0.8433,0.76058,0.99699,0.97231
33771,0.92547,0.92121,0.96,0.99,0.97682,0.86984,0.93185,0.88315,1,0.84,0.91133,0.8768,0.90568,0.90516,0.7442,0.94564,0.79818,0.82879,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
24651,0.95618,0.94427,0.99672,0.95,0.94025,0.95944,0.93697,0.91347,0.998,0.95247,0.9767,0.85214,0.89207,0.90879,0.58334,0.89605,0.7336,0.83197,0.97698,0.99777,1,0.75427,0.83934,0.86739
36398,0.99753,0.99761,1,0.98059,0.99793,0.97477,0.9918,0.99032,1,1,0.96665,0.97476,0.98483,0.95951,0.9668,1,0.98166,0.96533,0.99715,0.99325,1,1,0.99971,0.98515
37689,0.95826,0.95913,0.97021,0.99259,0.93335,0.92038,0.93289,0.91459,0.97749,0.94086,0.97874,0.85644,0.90207,0.92566,0.70117,0.95541,0.79074,0.83971,0.93858,0.97872,0.85161,0.72228,0.77771,0.88254
