ID,GBM_2,GBM_5,GBM_3,GBM_4,GBM_grid_4,GBM_grid_2,GBM_grid_3,GBM_1,GBM_grid_1,GBM_grid_5,XRT_1,DRF_1,DL_1,GLM_1
38113,0.99509,0.97909,0.98018,0.97524,0.98764,0.9957,0.98516,0.97831,0.98755,0.87732,0.98562,0.98858,0.98331,0.92889
39214,0.94761,0.94125,0.97373,0.9667,0.92034,0.98535,0.92882,0.98326,0.90261,0.9732,0.97197,0.85071,0.98803,0.90476
44248,0.99107,0.98379,0.99884,0.9876,0.97553,0.96713,0.93562,0.99647,0.9564,0.99456,0.92909,0.92,0.92575,0.96485
10283,0.97552,0.9589,0.99219,0.93031,0.97638,0.98042,0.97533,0.97867,0.91381,0.90242,0.98743,0.99667,0.9412,0.98302
26724,0.9998,0.99976,0.99982,0.99989,0.99924,0.99989,0.99892,0.9997,0.9998,0.99884,1,1,0.99998,0.99902
20996,0.99913,0.99868,0.99935,0.99866,0.99722,0.99918,0.99868,0.99676,0.9921,0.99893,0.99971,0.99982,0.99963,0.98169
44337,0.99859,0.99805,0.99671,0.99823,0.99953,0.99728,0.99569,0.99417,0.99774,0.9995,1,1,0.99845,0.99854
33771,0.96264,0.96746,0.90677,0.94559,0.91199,0.96141,0.98918,0.97993,0.89056,0.9894,0.98,0.96,0.99888,0.93235
24651,0.93856,0.9317,0.93166,0.95849,0.9931,0.9762,0.9951,0.98635,0.99761,0.99519,0.97182,0.975,0.93923,0.97774
36398,0.99847,0.99843,0.99928,0.99838,0.99676,0.99845,0.99898,0.99701,0.99985,0.99291,1,1,0.98899,0.99413
37689,0.95515,0.96528,0.97239,0.91516,0.97817,0.98633,0.96432,0.97413,0.97291,0.95458,0.9674,0.97673,0.93741,0.95722
41336,0.95053,0.96891,0.96269,0.97739,0.95704,0.94491,0.97545,0.98194,0.98093,0.83257,0.96487,0.95216,0.95685,0.9281
6384,0.99974,0.99901,0.99842,0.99703,0.99867,0.99968,0.99951,0.99857,0.99815,0.99948,1,1,0.99999,0.99194
44415,0.9231,0.9004,0.92318,0.90263,0.78464,0.94288,0.90519,0.87516,0.76809,0.97676,0.98355,0.92903,0.95019,0.90895
2571,0.94997,0.95625,0.93126,0.95943,0.94014,0.95248,0.95608,0.98005,0.94085,0.94753,0.99518,0.9744,0.95852,0.89918
7110,0.96967,0.97928,0.98973,0.99964,0.99469,0.9679,0.96246,0.97444,0.94776,0.95069,0.99186,0.99603,0.98049,0.93292
6613,0.99968,0.99955,0.99926,0.99902,0.99971,0.99971,0.99962,0.99907,0.99899,0.99979,1,0.99333,0.99983,0.99401
8467,0.95451,0.96117,0.8953,0.96903,0.90343,0.95189,0.91656,0.96902,0.92418,0.99734,0.97558,0.98079,0.97878,0.95978
47081,0.99863,0.99675,0.99812,0.99584,0.99814,0.99708,0.99911,0.99712,0.99744,0.99574,1,0.99333,0.99595,0.9899
27267,0.99415,0.96412,0.99503,0.99189,0.98333,0.93924,0.97349,0.99649,0.97501,0.99709,1,0.92,0.86322,0.9287
29974,0.99984,0.99944,0.99947,0.99914,0.99984,0.99979,0.99999,0.99915,0.99953,0.99979,1,1,0.99974,0.98633
22469,0.94292,0.94642,0.88168,0.86816,0.88656,0.94218,0.86435,0.93525,0.88721,0.98461,0.94444,0.85285,0.86152,0.98364
19359,0.9999,0.99934,0.99981,0.99825,0.99951,0.99968,0.9993,0.99863,0.99935,0.99873,1,1,0.99913,0.98536
27710,0.98674,0.95654,0.98467,0.94149,0.90133,0.96885,0.98253,0.98546,0.99944,0.96493,0.98258,0.84647,0.96336,0.92389
40076,0.99938,0.99684,0.99844,0.99742,0.99904,0.99698,0.99815,0.99851,0.99513,0.99549,1,0.99938,0.99929,0.98883
5007,0.9994,0.99927,0.99991,0.99885,0.99696,0.99947,0.9997,0.99932,0.99802,0.99999,1,1,0.9995,0.99873
20831,0.99535,0.9959,0.99846,0.99438,0.96728,0.99661,0.99133,0.99993,0.97019,0.99883,1,0.98,0.9081,0.9082
40347,0.9999,0.99944,0.99925,0.99908,0.99889,0.99934,0.99952,0.99924,0.99918,0.99952,1,1,0.99893,0.97388
31792,0.99952,0.99986,0.99956,0.99953,0.99908,0.99987,0.99979,0.99948,0.99989,0.99987,0.99978,1,0.99994,0.99325
29337,0.9907,0.95142,0.9552,0.99819,0.99367,0.96476,0.97255,0.95758,0.96275,0.99734,0.98333,0.9683,0.97583,0.92139
15124,0.9974,0.99813,0.9986,0.99752,0.99924,0.99863,0.9986,0.99854,0.99277,0.99696,1,0.9992,0.99778,0.98198
40590,0.98602,0.98055,0.93114,0.97976,0.94047,0.95671,0.93687,0.95811,0.98053,0.95321,0.96778,0.96362,0.98376,0.90873
47650,0.97341,0.98725,0.97768,0.98261,0.89083,0.98323,0.98172,0.99035,0.92813,0.99939,0.97309,0.96771,0.94184,0.98146
17331,0.98104,0.97396,0.94623,0.98845,0.87743,0.97033,0.96558,0.94906,0.90139,0.97632,0.98563,0.96295,0.94331,0.9235
19354,0.99782,0.99667,0.99868,0.99719,0.99819,0.99815,0.99837,0.99831,0.9976,0.99984,0.9994,0.99843,0.99928,0.98151
24972,0.95747,0.97974,0.97777,0.92994,0.96809,0.9551,0.97602,0.95949,0.96977,0.96802,0.95057,0.95798,0.97782,0.9285
15310,0.99479,0.99092,0.99821,0.99928,0.99595,0.99673,0.99393,0.99366,0.99332,0.99961,1,0.98,0.99081,0.99931
11888,0.98891,0.97737,0.97716,0.95468,0.96379,0.95533,0.89916,0.99377,0.94166,0.9654,0.992,0.93448,0.69742,0.91412
30976,0.94859,0.95646,0.96991,0.92865,0.92995,0.94586,0.95683,0.97992,0.91393,0.98593,0.99732,0.9005,0.93545,0.91698
13631,0.99801,0.99782,0.99977,0.99771,0.99644,0.99876,0.99845,0.99924,0.99762,0.99935,1,0.98,0.99853,0.99733
25633,0.95914,0.97791,0.94951,0.99317,0.95851,0.95799,0.94032,0.99248,0.99719,0.95915,0.94856,0.95859,0.97567,0.90014
27325,0.95649,0.98124,0.97065,0.99736,0.93655,0.93052,0.99672,0.98938,0.98852,0.93888,0.98471,0.90061,0.97843,0.8987
31897,0.98511,0.92665,0.98083,0.95073,0.96686,0.97229,0.92612,0.96827,0.92457,0.97822,0.95,0.96,0.97742,0.99196
6956,0.99632,0.99139,0.99809,0.99784,0.99815,0.99173,0.99988,0.99616,0.96394,0.99825,0.98,1,0.84216,0.89888
35183,0.9979,0.98018,0.9665,0.96956,0.98225,0.97955,0.98987,0.98979,0.92211,0.97699,0.96286,0.91605,0.99775,0.95212
8959,0.94821,0.96541,0.98574,0.96961,0.97962,0.9488,0.98305,0.9848,0.93314,0.99306,0.99412,0.99268,0.97298,0.89927
29271,0.97052,0.961,0.99617,0.96557,0.98576,0.95187,0.9916,0.95498,0.91518,0.97134,0.96373,0.98979,0.89071,0.9262
13492,0.99868,0.99762,0.99774,0.99684,0.99916,0.99928,0.99658,0.99754,0.99952,0.99929,1,1,0.99679,0.97322
