ID,GBM_1,GBM_2,DP_1,GBM_3,GBM_4,GBM_5,GBM_6,GLM_7,GBM_8,GBM_9,DP_2,GBM_10,GBM_11,DRF_1,XRT_1
17753,0.03934,0.0156,0.07007,0.06352,0.11313,0.0364,0.07448,0.06391,0.01568,0.09911,0.08412,0.05527,0.16552,0.49979,0.4315
16451,0.03863,0.15739,0.07489,0.07521,0.23726,0.17064,0.28186,0.18777,0.0944,0.10847,0.06285,0.2142,0.2747,0.1585,0.05819
4487,0.34253,0.22967,0.34383,0.14585,0.04727,0.06483,0.1886,0.31196,0.13176,0.09067,0.74139,0.04173,0.1365,0.12161,0.0749
13888,0.6683,0.61541,0.77294,0.87903,0.70322,0.45159,0.73874,0.50373,0.62062,0.24882,0.9305,0.6322,1.06001,1.24199,0.33959
19662,1.11082,0.8709,1.51777,0.84964,0.5107,0.31671,0.53125,0.9061,1.0046,0.56147,0.58701,0.65569,0.69811,0.67863,0.23894
12855,2.54832,0.87417,0.68212,1.10989,0.86503,1.18902,1.47444,0.33296,1.12695,0.82544,1.18925,0.94376,0.42752,0.18396,0.45997
1165,0.05893,0.08516,0.00469,0.03211,0.20104,0.21124,0.08685,0.11236,0.1075,0.40274,0.02699,0.24819,0.16906,0.00051,0.11241
13277,0.04589,0.15541,0.39935,0.05961,0.11039,0.04161,0.00892,0.17434,0.01197,0.283,0.18277,0.35936,0.25091,0.33274,0.02964
19127,0.31336,0.31367,0.16041,0.39922,0.63635,0.27477,0.67776,0.19684,0.56018,0.51387,0.02337,0.63667,1.10412,0.68274,0.17216
3882,0.21445,0.11204,0.10329,0.24885,0.01891,0.02529,0.00973,0.23602,0.01707,0.00361,0.09492,0.15591,0.21537,0.09031,0.05861
12831,0.13636,0.12944,0.02752,0.04649,0.17125,0.12842,0.01217,0.36177,0.11221,0.17287,0.06904,0.07953,0.1267,0.15572,0.09286
8750,3.01526,5.2806,49.51849,17.98616,2.0005,4.80917,3.31077,6.45553,7.91358,3.20206,1.66796,2.50496,1.35868,0.68128,0.64568
20512,0.05398,0.06627,0.04344,0.12188,0.09796,0.10847,0.15932,0.04937,0.32066,0.11313,0.0562,0.25921,0.74594,2.55559,0.1526
11070,0.14437,0.20874,0.11835,0.23397,0.28886,0.06819,0.4342,0.14351,0.33199,0.35205,0.14557,0.48205,0.92964,0.65246,0.16995
14100,12.70318,7.75504,1.20833,7.31033,2.1415,0.87717,10.34301,0.87105,209.9838,25.25745,0.3987,119.63466,13.21826,4.40939,1.0536
12714,0.11188,0.13022,0.12325,0.08744,0.17849,0.16068,0.02462,0.38544,0.02402,0.21128,0.16658,0.12107,1.11238,1.22764,0.36038
