LSAT,UGPA,amerind,asian,black,hisp,mexican,other,puerto,white,gender,ZFYA
39,3.1,0,0,0,0,0,0,0,1,1,-0.98
36,3,0,0,0,0,0,0,0,1,1,0.09
30,3.1,0,0,0,0,0,0,0,1,0,-0.35
39,2.2,0,0,0,1,0,0,0,0,0,0.58
30,3.6,0,0,0,0,0,0,0,1,1,0.3
36,3.6,0,0,0,0,0,0,0,1,0,-0.1
37,2.7,0,0,0,0,0,0,0,1,0,-0.12
41,3.2,0,0,0,0,0,0,0,1,0,1.53
35,3.2,0,0,0,0,0,0,0,1,1,-0.17
35,2.9,0,0,0,0,0,0,0,1,0,-0.42
41,2.3,0,0,0,0,0,0,0,1,0,-0.35
30,3.3,0,0,0,0,0,0,0,1,0,0.85
40,3.9,0,0,0,0,0,0,0,1,0,2.48
36,3.4,0,0,0,0,0,0,0,1,0,0.27
29,2.7,0,0,0,0,0,0,0,1,0,0.88
37,3.2,0,0,0,0,0,0,0,1,0,0.58
40,3.1,0,0,0,0,0,0,0,1,0,-0.8
37,3.6,0,0,0,0,0,0,0,1,1,0.81
34,2.8,0,0,0,0,0,0,0,1,0,-0.12
35,3,0,0,0,0,0,0,0,1,0,-0.61
40,3.4,0,0,0,0,0,0,0,1,0,-0.73
36,2.6,0,0,0,0,0,0,0,1,0,-0.63
29,2.9,0,0,0,0,0,0,0,1,0,-0.02
35,2.5,0,0,0,0,0,0,0,1,0,0.02
36,2.5,0,0,0,0,0,0,0,1,0,-1.1
36,3.6,0,0,0,0,0,0,0,1,0,1.18
32,3.2,0,0,0,0,0,0,0,1,0,0.76
27,3.5,0,0,0,0,0,0,0,1,1,-1.05
36,2.4,0,0,0,0,0,0,0,1,0,0.39
35,3.1,0,0,0,0,0,0,0,1,1,1.71
31,3.2,0,0,0,1,0,0,0,0,1,-0.82
36,2.8,0,0,0,0,0,0,0,1,0,-0.17
32,3,0,0,0,0,0,1,0,0,0,-0.63
38,3.7,0,0,0,0,0,0,0,1,1,-0.05
34,3.2,0,0,0,0,0,0,0,1,0,0.37
38,2.8,0,0,0,0,0,0,0,1,0,0.44
31,3.7,0,0,0,0,0,0,0,1,0,-0.49
23,2.6,0,0,1,0,0,0,0,0,1,0.48
37,3.8,0,0,0,0,0,0,0,1,0,0.72
33,3.3,0,0,0,0,0,0,0,1,1,-1.24
35,3.3,0,0,0,0,0,0,0,1,0,-0.7
36,3.2,0,0,0,0,0,0,0,1,0,0.83
36,2.4,0,0,0,0,0,0,0,1,0,-0.63
41,3.4,0,0,0,0,0,0,0,1,0,-0.05
27,2.9,0,1,0,0,0,0,0,0,1,-0.77
29,3.3,0,0,0,0,0,0,0,1,0,-0.98
33,3.3,0,0,0,0,0,0,0,1,1,1.27
32,2.9,0,0,0,0,0,0,0,1,0,-0.62
39,2.3,0,0,0,0,0,0,0,1,0,0.51
23,3.7,0,1,0,0,0,0,0,0,0,-0.17
39,3,0,0,0,0,0,0,0,1,1,-0.42
29,3.3,0,0,0,0,0,0,0,1,0,-1.19
31,3,0,0,0,0,0,0,0,1,0,-1.07
36,3.3,0,0,0,0,0,0,0,1,1,-0.49
27,2.4,0,0,1,0,0,0,0,0,0,-1.66
30,3.5,0,0,0,0,0,0,0,1,0,1.39
38,3.5,0,0,0,0,0,0,0,1,0,2.78
34,2.8,0,0,0,0,0,0,0,1,1,-0.63
37,3.7,0,0,0,0,0,0,0,1,0,1.32
36,2.7,0,0,0,1,0,0,0,0,1,-1.28
43,3,0,0,0,0,0,0,0,1,0,0.1
34,3.4,0,0,0,0,0,0,0,1,0,0.69
37,3.5,0,0,0,0,0,0,0,1,0,-1.64
30,3.5,0,0,0,0,0,0,0,1,0,-0.24
41,3.1,0,0,0,0,0,0,0,1,0,-0.05
38,3.6,0,0,0,0,0,0,0,1,1,-1
42,3.2,0,0,0,0,0,0,0,1,1,-0.22
36,3.6,0,0,0,0,0,0,0,1,1,-0.85
39,3.5,0,0,0,0,0,0,0,1,1,-0.71
28,2.9,0,0,0,0,0,0,0,1,0,-1.96
43,3.5,0,0,0,0,0,0,0,1,1,0.74
43,3.1,0,0,0,0,0,0,0,1,0,0.29
35,3.2,0,0,0,0,0,0,0,1,0,-0.66
42,2.5,0,0,0,0,0,0,0,1,1,-0.41
40,3.7,0,0,0,0,0,0,0,1,1,0.21
40,3.3,0,0,0,0,0,0,0,1,0,-0.96
39,3.5,0,0,0,0,0,0,0,1,1,0.98
36,3.6,0,0,0,0,0,0,0,1,1,-0.58
38,3.6,0,0,0,0,0,0,0,1,1,-0.28
36,3,0,0,0,0,0,0,0,1,0,-1.19
39,3.2,0,0,0,0,0,0,0,1,0,-1.34
37,3.9,0,0,0,0,0,0,0,1,1,0.55
41,3,0,0,0,0,0,0,0,1,0,-1.45
36,3.3,0,0,0,0,0,0,0,1,1,1.04
35,3.8,0,0,0,0,0,0,0,1,0,-1.11
39,3.7,0,0,0,0,0,0,0,1,1,-1.58
37,3.8,0,0,0,0,0,0,0,1,1,0.4
37,3.1,0,0,0,0,0,0,0,1,0,-0.51
36,3.8,0,0,0,0,0,0,0,1,0,-0.66
40,3.3,0,0,0,0,0,0,0,1,0,-0.77
45,3.3,0,0,0,0,0,0,0,1,1,0.64
35,2.6,0,0,0,0,0,0,0,1,0,0.02
